#::	$Id: nmap-mac-prefixes 4117 2006-11-02 19:46:28Z fyodor $ generated with make-mac-prefixes.pl
#::	Original data comes from http://standards.ieee.org/regauth/oui/oui.txt
#::	These values are known as Organizationally Unique Identifiers (OUIs)
#::	See http://standards.ieee.org/faqs/OUI.html
#::	We have added a few unregistered OUIs at the end.
00:40:4E	Fluent
00:40:4F	Space & Naval Warfare Systems
00:40:50	Ironics, Incorporated
00:40:51	Gracilis
00:40:52	Star Technologies
00:40:53	Ampro Computers
00:40:54	Connection Machines Services
00:40:55	Metronix Gmbh
00:40:56	MCM Japan
00:40:57	Lockheed - Sanders
00:40:58	Kronos
00:40:59	Yoshida Kogyo K. K.
00:40:5A	Goldstar Information & COMM.
00:40:5B	Funasset Limited
00:40:5C	Future Systems
00:40:5D	Star-tek
00:40:5E	North Hills Israel
00:40:5F	AFE Computers
00:40:60	Comendec
00:40:61	Datatech Enterprises CO.
00:40:62	E-systems,/garland DIV.
00:40:63	VIA Technologies
00:40:64	KLA Instruments
00:40:65	GTE Spacenet
00:40:66	Hitachi Cable
00:40:67	Omnibyte
00:40:68	Extended Systems
00:40:69	Lemcom Systems
00:40:6A	Kentek Information Systems
00:40:6B	Sysgen
00:40:6C	Copernique
00:40:6D	Lanco
00:40:6E	Corollary
00:40:6F	Sync Research
00:40:70	Interware CO.
00:40:71	ATM Computer Gmbh
00:40:72	Applied Innovation
00:40:73	Bass Associates
00:40:74	Cable AND Wireless
00:40:75	M-trade (uk)
00:40:76	Sun Conversion Technologies
00:40:77	Maxton Technology
00:40:78	Wearnes Automation PTE
00:40:79	Juko Manufacture Company
00:40:7A	Societe D'exploitation DU Cnit
00:40:7B	Scientific Atlanta
00:40:7C	Qume
00:40:7D	Extension Technology
00:40:7E	Evergreen Systems
00:40:7F	Flir Systems
00:40:80	Athenix
00:40:81	Mannesmann Scangraphic Gmbh
00:40:82	Laboratory Equipment
00:40:83	TDA Industria DE Produtos
00:40:84	Honeywell
00:40:85	Saab Instruments AB
00:40:86	Michels & Kleberhoff Computer
00:40:87	Ubitrex
00:40:88	Mobius Technologies
00:40:89	Meidensha
00:40:8A	TPS Teleprocessing SYS. Gmbh
00:40:8B	Raylan
00:40:8C	Axis Communications AB
00:40:8D	THE Goodyear Tire & Rubber CO.
00:40:8E	Digilog
00:40:8F	Wm-data Minfo AB
00:40:90	Ansel Communications
00:40:91	Procomp Industria Eletronica
00:40:92	ASP Computer Products
00:40:93	Paxdata Networks
00:40:94	Shographics
00:40:95	R.p.t. Intergroups Int'l
00:40:96	Cisco Systems
00:40:97	Datex Division OF
00:40:98	Dressler Gmbh & CO.
00:40:99	Newgen Systems
00:40:9A	Network Express
00:40:9B	HAL Computer Systems
00:40:9C	Transware
00:40:9D	Digiboard
00:40:9E	Concurrent Technologies
00:40:9F	Lancast/casat Technology
00:40:A0	Goldstar CO.
00:40:A1	Ergo Computing
00:40:A2	Kingstar Technology
00:40:A3	Microunity Systems Engineering
00:40:A4	Rose Electronics
00:40:A5	Clinicomp INTL.
00:40:A6	Cray
00:40:A7	Itautec Philco S.A.
00:40:A8	IMF International
00:40:A9	Datacom
00:40:AA	Valmet Automation
00:40:AB	Roland DG
00:40:AC	Super Workstation
00:40:AD	SMA Regelsysteme Gmbh
00:40:AE	Delta Controls
00:40:AF	Digital Products
00:40:B0	Bytex, Engineering
00:40:B1	Codonics
00:40:B2	Systemforschung
00:40:B3	PAR Microsystems
00:40:B4	Nextcom K.K.
00:40:B5	Video Technology Computers
00:40:B6	Computerm
00:40:B7	Stealth Computer Systems
00:40:B8	Idea Associates
00:40:B9	Macq Electronique SA
00:40:BA	Alliant Computer Systems
00:40:BB	Goldstar Cable CO.
00:40:BC	Algorithmics
00:40:BD	Starlight Networks
00:40:BE	Boeing Defense & Space
00:40:BF	Channel Systems Intern'l
00:40:C0	Vista Controls
00:40:C1	Bizerba-werke Wilheim Kraut
00:40:C2	Applied Computing Devices
00:40:C3	Fischer AND Porter CO.
00:40:C4	Kinkei System
00:40:C5	Micom Communications
00:40:C6	Fibernet Research
00:40:C7	Ruby Tech
00:40:C8	Milan Technology
00:40:C9	Ncube
00:40:CA	First Internat'l Computer
00:40:CB	Lanwan Technologies
00:40:CC	Silcom Manuf'g Technology
00:40:CD	Tera Microsystems
00:40:CE	Net-source
00:40:CF	Strawberry TREE
00:40:D0	Mitac International
00:40:D1	Fukuda Denshi CO.
00:40:D2	Pagine
00:40:D3	Kimpsion International
00:40:D4	Gage Talker
00:40:D5	Sartorius AG
00:40:D6	Locamation B.V.
00:40:D7	Studio GEN
00:40:D8	Ocean Office Automation
00:40:D9	American Megatrends
00:40:DA	Telspec
00:40:DB	Advanced Technical Solutions
00:40:DC	Tritec Electronic Gmbh
00:40:DD	Hong Technologies
00:40:DE	Elettronica SAN Giorgio
00:40:DF	Digalog Systems
00:40:E0	Atomwide
00:40:E1	Marner International
00:40:E2	Mesa Ridge Technologies
00:40:E3	Quin Systems
00:40:E4	E-M Technology
00:40:E5	Sybus
00:40:E6	C.a.e.n.
00:40:E7	Arnos Instruments & Computer
00:40:E8	Charles River Data Systems
00:40:E9	Accord Systems
00:40:EA	Plain Tree Systems
00:40:EB	Martin Marietta
00:40:EC	Mikasa System Engineering
00:40:ED	Network Controls Int'natl
00:40:EE	Optimem
00:40:EF	Hypercom
00:40:F0	Micro Systems
00:40:F1	Chuo Electronics CO.
00:40:F2	Janich & Klass Computertechnik
00:40:F3	Netcor
00:40:F4	Cameo Communications
00:40:F5	OEM Engines
00:40:F6	Katron Computers
00:40:F7	Polaroid Medical Imaging SYS.
00:40:F8	Systemhaus Discom
00:40:F9	Combinet
00:40:FA	Microboards
00:40:FB	Cascade Communications
00:40:FC	IBR Computer Technik Gmbh
00:40:FD	LXE
00:40:FE	Symplex Communications
00:40:FF	Telebit
00:42:52	RLX Technologies
00:45:01	Versus Technology
00:50:00	Nexo Communications
00:50:01	Yamashita Systems
00:50:02	Omnisec AG
00:50:03	Gretag Macbeth AG
00:50:04	3com
00:50:06	TAC AB
00:50:07	Siemens Telecommunication Systems Limited
00:50:08	Tiva Microcomputer (tmc)
00:50:09	Philips Broadband Networks
00:50:0A	Iris Technologies
00:50:0B	Cisco Systems
00:50:0C	e-Tek Labs
00:50:0D	Satori Electoric CO.
00:50:0E	Chromatis Networks
00:50:0F	Cisco Systems
00:50:10	NovaNET Learning
00:50:12	CBL - Gmbh
00:50:13	Chaparral Network Storage
00:50:14	Cisco Systems
00:50:15	Bright Star Engineering
00:50:16	Sst/woodhead Industries
00:50:17	RSR S.r.l.
00:50:18	AMIT
00:50:19	Spring Tide Networks
00:50:1A	Uisiqn
00:50:1B	ABL Canada
00:50:1C	Jatom Systems
00:50:1E	Miranda Technologies
00:50:1F	MRG Systems
00:50:20	Mediastar CO.
00:50:21	EIS International
00:50:22	Zonet Technology
00:50:23	PG Design Electronics
00:50:24	Navic Systems
00:50:26	Cosystems
00:50:27	Genicom
00:50:28	Aval Communications
00:50:29	1394 Printer Working Group
00:50:2A	Cisco Systems
00:50:2B	Genrad
00:50:2C	Soyo Computer
00:50:2D	Accel
00:50:2E	Cambex
00:50:2F	TollBridge Technologies
00:50:30	Future Plus Systems
00:50:31	Aeroflex Laboratories
00:50:32	Picazo Communications
00:50:33	Mayan Networks
00:50:36	Netcam
00:50:37	Koga Electronics CO.
00:50:38	Dain Telecom CO.
00:50:39	Mariner Networks
00:50:3A	Datong Electronics
00:50:3B	Mediafire
00:50:3C	Tsinghua Novel Electronics
00:50:3E	Cisco Systems
00:50:3F	Anchor Games
00:50:40	Matsushita Electric Works
00:50:41	CTX Opto Electronic
00:50:42	SCI Manufacturing Singapore PTE
00:50:43	Marvell Semiconductor
00:50:44	Asaca
00:50:45	Rioworks Solutions
00:50:46	Menicx International CO.
00:50:47	Private
00:50:48	Infolibria
00:50:49	Ellacoya Networks
00:50:4A	Elteco A.S.
00:50:4B	Barconet N.V.
00:50:4C	Galil Motion Control
00:50:4D	Tokyo Electron Device
00:50:4E	Sierra Monitor
00:50:4F	Olencom Electronics
00:50:50	Cisco Systems
00:50:51	Iwatsu Electric CO.
00:50:52	Tiara Networks
00:50:53	Cisco Systems
00:50:54	Cisco Systems
00:50:55	Doms A/S
00:50:56	VMWare
00:50:57	Broadband Access Systems
00:50:58	VegaStream Limted
00:50:59	iBAHN
00:50:5A	Network Alchemy
00:50:5B	Kawasaki LSI U.s.a.
00:50:5C	Tundo
00:50:5E	Digitek Micrologic S.A.
00:50:5F	Brand Innovators
00:50:60	Tandberg Telecom AS
00:50:62	Kouwell Electronics  **
00:50:63	OY Comsel System AB
00:50:64	CAE Electronics
00:50:65	Densei-lambad Co.
00:50:66	AtecoM GmbH advanced telecomunication modules
00:50:67	Aerocomm
00:50:68	Electronic Industries Association
00:50:69	PixStream Incorporated
00:50:6A	Edeva
00:50:6B	Spx-ateg
00:50:6C	G & L Beijer Electronics AB
00:50:6D	Videojet Systems
00:50:6E	Corder Engineering
00:50:6F	G-connect
00:50:70	Chaintech Computer CO.
00:50:71	Aiwa CO.
00:50:72	Corvis
00:50:73	Cisco Systems
00:50:74	Advanced Hi-tech
00:50:75	Kestrel Solutions
00:50:76	IBM
00:50:77	Prolific Technology
00:50:78	Megaton House
00:50:79	Private
00:50:7A	Xpeed
00:50:7B	Merlot Communications
00:50:7C	Videocon AG
00:50:7D	IFP
00:50:7E	Newer Technology
00:50:7F	DrayTek
00:50:80	Cisco Systems
00:50:81	Murata Machinery
00:50:82	Foresson
00:50:83	Gilbarco
00:50:84	ATL Products
00:50:86	Telkom SA
00:50:87	Terasaki Electric CO.
00:50:88	Amano
00:50:89	Safety Management Systems
00:50:8B	Compaq Computer
00:50:8C	RSI Systems
00:50:8D	Abit Computer
00:50:8E	Optimation
00:50:8F	Asita Technologies Int'l
00:50:90	Dctri
00:50:91	Netaccess
00:50:92	Rigaku Industrial
00:50:93	Boeing
00:50:94	Pace Micro Technology PLC
00:50:95	Peracom Networks
00:50:96	Salix Technologies
00:50:97	Mmc-embedded Computertechnik Gmbh
00:50:98	Globaloop
00:50:99	3com Europe
00:50:9A	TAG Electronic Systems
00:50:9B	Switchcore AB
00:50:9C	Beta Research
00:50:9D	THE Industree B.V.
00:50:9E	Les Technologies SoftAcoustik
00:50:9F	Horizon Computer
00:50:A0	Delta Computer Systems
00:50:A1	Carlo Gavazzi
00:50:A2	Cisco Systems
00:50:A3	TransMedia Communications
00:50:A4	IO TECH
00:50:A5	Capitol Business Systems
00:50:A6	Optronics
00:50:A7	Cisco Systems
00:50:A8	OpenCon Systems
00:50:A9	Moldat Wireless Technolgies
00:50:AA	Konica Minolta Holdings
00:50:AB	Naltec
00:50:AC	Maple Computer
00:50:AD	CommUnique Wireless
00:50:AE	Iwaki Electronics CO.
00:50:AF	Intergon
00:50:B0	Technology Atlanta
00:50:B1	Giddings & Lewis
00:50:B2	Brodel Automation
00:50:B3	Voiceboard
00:50:B4	Satchwell Control Systems
00:50:B5	Fichet-bauche
00:50:B6	Good WAY IND. CO.
00:50:B7	Boser Technology CO.
00:50:B8	Inova Computers Gmbh & CO. KG
00:50:B9	Xitron Technologies
00:50:BA	D-link
00:50:BB	CMS Technologies
00:50:BC	Hammer Storage Solutions
00:50:BD	Cisco Systems
00:50:BE	Fast Multimedia AG
00:50:BF	Mototech
00:50:C0	Gatan
00:50:C1	Gemflex Networks
00:50:C2	Ieee Registration Authority
00:50:C4	IMD
00:50:C5	ADS Technologies
00:50:C6	Loop Telecommunication International
00:50:C8	Addonics Communications
00:50:C9	Maspro Denkoh
00:50:CA	NET TO NET Technologies
00:50:CB	Jetter
00:50:CC	Xyratex
00:50:CD	Digianswer A/S
00:50:CE	LG International
00:50:CF	Vanlink Communication Technology Research Institute
00:50:D0	Minerva Systems
00:50:D1	Cisco Systems
00:50:D2	CMC Electronics
00:50:D3	Digital Audio Processing
00:50:D4	Joohong Information
00:50:D5	AD Systems
00:50:D6	Atlas Copco Tools AB
00:50:D7	Telstrat
00:50:D8	Unicorn Computer
00:50:D9	Engetron-engenharia Eletronica IND. e COM. Ltda
00:50:DA	3com
00:50:DB	Contemporary Control
00:50:DC	TAS Telefonbau A. Schwabe Gmbh & CO. KG
00:50:DD	Serra Soldadura
00:50:DE	Signum Systems
00:50:DF	AirFiber
00:50:E1	NS Tech Electronics SDN BHD
00:50:E2	Cisco Systems
00:50:E3	Terayon Communications Systems
00:50:E4	Apple Computer
00:50:E6	Hakusan
00:50:E7	Paradise Innovations (asia)
00:50:E8	Nomadix
00:50:EA	XEL Communications
00:50:EB	Alpha-top
00:50:EC	Olicom A/S
00:50:ED	Anda Networks
00:50:EE	TEK Digitel
00:50:EF	SPE Systemhaus GmbH
00:50:F0	Cisco Systems
00:50:F1	Libit Signal Processing
00:50:F2	Microsoft
00:50:F3	Global NET Information CO.
00:50:F4	Sigmatek Gmbh & CO. KG
00:50:F6	Pan-international Industrial
00:50:F7	Venture Manufacturing (singapore)
00:50:F8	Entrega Technologies
00:50:F9	Sensormatic ACD
00:50:FA	Oxtel
00:50:FB	VSK Electronics
00:50:FC	Edimax Technology CO.
00:50:FD	Visioncomm CO.
00:50:FE	Pctvnet ASA
00:50:FF	Hakko Electronics CO.
00:60:00	Xycom
00:60:01	InnoSys
00:60:02	Screen Subtitling Systems
00:60:03	Teraoka Weigh System PTE
00:60:04	Computadores Modulares SA
00:60:05	Feedback Data
00:60:06	Sotec CO.
00:60:07	Acres Gaming
00:60:08	3com
00:60:09	Cisco Systems
00:60:0A	Sord Computer
00:60:0B	Logware Gmbh
00:60:0C	Applied Data Systems
00:60:0D	Digital Logic GmbH
00:60:0E	Wavenet International
00:60:0F	Westell
00:60:10	Network Machines
00:60:11	Crystal Semiconductor
00:60:12	Power Computing
00:60:13	Netstal Maschinen AG
00:60:14	Edec CO.
00:60:15	Net2net
00:60:16	Clariion
00:60:17	Tokimec
00:60:18	Stellar ONE
00:60:19	Roche Diagnostics
00:60:1A	Keithley Instruments
00:60:1B	Mesa Electronics
00:60:1C	Telxon
00:60:1D	Lucent Technologies
00:60:1E	Softlab
00:60:1F	Stallion Technologies
00:60:20	Pivotal Networking
00:60:21	DSC
00:60:22	Vicom Systems
00:60:23	Pericom Semiconductor
00:60:24	Gradient Technologies
00:60:25	Active Imaging PLC
00:60:26	Viking Components
00:60:27	Superior Modular Products
00:60:28	Macrovision
00:60:29	Cary Peripherals
00:60:2A	Symicron Computer Communications
00:60:2B	Peak Audio
00:60:2C	Linx Data Terminals
00:60:2D	Alerton Technologies
00:60:2E	Cyclades
00:60:2F	Cisco Systems
00:60:30	Village Tronic Entwicklung
00:60:31	HRK Systems
00:60:32	I-cube
00:60:33	Acuity Imaging
00:60:34	Robert Bosch Gmbh
00:60:35	Dallas Semiconductor
00:60:36	Austrian Research Center Seibersdorf
00:60:37	Philips Semiconductors
00:60:38	Nortel Networks
00:60:39	SanCom Technology
00:60:3A	Quick Controls
00:60:3B	Amtec spa
00:60:3C	Hagiwara Sys-com CO.
00:60:3D	3CX
00:60:3E	Cisco Systems
00:60:3F	Patapsco Designs
00:60:40	Netro
00:60:41	Yokogawa Electric
00:60:42	TKS (usa)
00:60:43	ComSoft Systems
00:60:44	Litton/poly-scientific
00:60:45	Pathlight Technologies
00:60:46	Vmetro
00:60:47	Cisco Systems
00:60:48	EMC
00:60:49	Vina Technologies
00:60:4A	Saic Ideas Group
00:60:4B	Safe-com GmbH & Co. KG
00:60:4C	Sagem SA
00:60:4D	MMC Networks
00:60:4E	Cycle Computer
00:60:4F	Suzuki MFG. CO.
00:60:50	Internix
00:60:51	Quality Semiconductor
00:60:52	Peripherals Enterprise CO.
00:60:53	Toyoda Machine Works
00:60:54	Controlware Gmbh
00:60:55	Cornell University
00:60:56	Network Tools
00:60:57	Murata Manufacturing CO.
00:60:58	Copper Mountain Communications
00:60:59	Technical Communications
00:60:5A	Celcore
00:60:5B	IntraServer Technology
00:60:5C	Cisco Systems
00:60:5D	Scanivalve
00:60:5E	Liberty Technology Networking
00:60:5F	Nippon Unisoft
00:60:60	Dawning Technologies
00:60:61	Whistle Communications
00:60:62	Telesync
00:60:63	Psion Dacom PLC.
00:60:64	Netcomm Limited
00:60:65	Bernecker & Rainer Industrie-elektronic Gmbh
00:60:66	Lacroix Technolgie
00:60:67	Acer Netxus
00:60:68	Eicon Technology
00:60:69	Brocade Communications Systems
00:60:6A	Mitsubishi Wireless Communications.
00:60:6B	Synclayer
00:60:6C	Arescom
00:60:6D	Digital Equipment
00:60:6E	Davicom Semiconductor
00:60:6F	Clarion OF America
00:60:70	Cisco Systems
00:60:71	Midas LAB
00:60:72	VXL Instruments, Limited
00:60:73	Redcreek Communications
00:60:74	QSC Audio Products
00:60:75	Pentek
00:60:76	Schlumberger Technologies Retail Petroleum Systems
00:60:77	Prisa Networks
00:60:78	Power Measurement
00:60:79	Mainstream Data
00:60:7A	DVS GmbH
00:60:7B	Fore Systems
00:60:7C	WaveAccess
00:60:7D	Sentient Networks
00:60:7E	Gigalabs
00:60:7F	Aurora Technologies
00:60:80	Microtronix Datacom
00:60:81	Tv/com International
00:60:82	Novalink Technologies
00:60:83	Cisco Systems
00:60:84	Digital Video
00:60:85	Storage Concepts
00:60:86	Logic Replacement TECH.
00:60:87	Kansai Electric CO.
00:60:88	White Mountain DSP
00:60:89	Xata
00:60:8A	Citadel Computer
00:60:8B	ConferTech International
00:60:8C	3com
00:60:8D	Unipulse
00:60:8E	HE Electronics, Technologie & Systemtechnik Gmbh
00:60:8F	Tekram Technology CO.
00:60:90	Able Communications
00:60:91	First Pacific Networks
00:60:92	Micro/sys
00:60:93	Varian
00:60:94	IBM
00:60:95	Accu-time Systems
00:60:96	T.S. Microtech
00:60:97	3com
00:60:98	HT Communications
00:60:99	SBE
00:60:9A	NJK Techno CO.
00:60:9B	Astro-med
00:60:9C	Perkin-Elmer Incorporated
00:60:9D	PMI Food Equipment Group
00:60:9E	ASC X3 - Information Technology Standards Secretariats
00:60:9F	Phast
00:60:A0	Switched Network Technologies
00:60:A1	VPNet
00:60:A2	Nihon Unisys Limited CO.
00:60:A3	Continuum Technology
00:60:A4	Grinaker System Technologies
00:60:A5	Performance Telecom
00:60:A6	Particle Measuring Systems
00:60:A7	Microsens Gmbh & CO. KG
00:60:A8	Tidomat AB
00:60:A9	Gesytec MbH
00:60:AA	Intelligent Devices (idi)
00:60:AB	Larscom Incorporated
00:60:AC	Resilience
00:60:AD	MegaChips
00:60:AE	Trio Information Systems AB
00:60:AF	Pacific Micro DATA
00:60:B0	Hewlett-packard CO.
00:60:B1	Input/output
00:60:B2	Process Control
00:60:B3	Z-com
00:60:B4	Glenayre R&D
00:60:B5	Keba Gmbh
00:60:B6	Land Computer CO.
00:60:B7	Channelmatic
00:60:B8	Corelis
00:60:B9	Nitsuko
00:60:BA	Sahara Networks
00:60:BB	Cabletron - Netlink
00:60:BC	KeunYoung Electronics & Communication Co.
00:60:BD	Hubbell-pulsecom
00:60:BE	Webtronics
00:60:BF	Macraigor Systems
00:60:C0	Nera AS
00:60:C1	WaveSpan
00:60:C2	MPL AG
00:60:C3	Netvision
00:60:C4	Soliton Systems K.K.
00:60:C5	Ancot
00:60:C6	DCS AG
00:60:C7	Amati Communications
00:60:C8	Kuka Welding Systems & Robots
00:60:C9	ControlNet
00:60:CA	Harmonic Systems Incorporated
00:60:CB	Hitachi Zosen
00:60:CC	Emtrak, Incorporated
00:60:CD	VideoServer
00:60:CE	Acclaim Communications
00:60:CF	Alteon Networks
00:60:D0	Snmp Research Incorporated
00:60:D1	Cascade Communications
00:60:D2	Lucent Technologies Taiwan Telecommunications CO.
00:60:D3	At&t
00:60:D4	Eldat Communication
00:60:D5	Miyachi Technos
00:60:D6	NovAtel Wireless Technologies
00:60:D7	Ecole Polytechnique Federale DE Lausanne (epfl)
00:60:D8	Elmic Systems
00:60:D9	Transys Networks
00:60:DA	JBM Electronics CO.
00:60:DB	NTP Elektronik A/S
00:60:DC	Toyo Network Systems Co
00:60:DD	Myricom
00:60:DE	Kayser-threde Gmbh
00:60:DF	CNT
00:60:E0	Axiom Technology CO.
00:60:E1	Orckit Communications
00:60:E2	Quest Engineering & Development
00:60:E3	Arbin Instruments
00:60:E4	Compuserve
00:60:E5	Fuji Automation CO.
00:60:E6	Shomiti Systems Incorporated
00:60:E7	Randata
00:60:E8	Hitachi Computer Products (america)
00:60:E9	Atop Technologies
00:60:EA	StreamLogic
00:60:EB	Fourthtrack Systems
00:60:EC	Hermary Opto Electronics
00:60:ED	Ricardo Test Automation
00:60:EE	Apollo
00:60:EF	Flytech Technology CO.
00:60:F0	Johnson & Johnson Medical
00:60:F1	EXP Computer
00:60:F2	Lasergraphics
00:60:F3	Performance Analysis Broadband, Spirent plc
00:60:F4	Advanced Computer Solutions
00:60:F5	Icon WEST
00:60:F6	Nextest Communications Products
00:60:F7	Datafusion Systems
00:60:F8	Loran International Technologies
00:60:F9	Diamond Lane Communications
00:60:FA	Educational Technology Resources
00:60:FB	Packeteer
00:60:FC	Conservation Through Innovation
00:60:FD	NetICs
00:60:FE	Lynx System Developers
00:60:FF	QuVis
00:70:B0	M/a-com Companies
00:70:B3	Data Recall
00:80:00	Multitech Systems
00:80:01	Periphonics
00:80:02	Satelcom (uk)
00:80:03	Hytec Electronics
00:80:04	Antlow Communications
00:80:05	Cactus Computer
00:80:06	Compuadd
00:80:07	Dlog Nc-systeme
00:80:08	Dynatech Computer Systems
00:80:09	Jupiter Systems
00:80:0A	Japan Computer
00:80:0B	CSK
00:80:0C	Videcom Limited
00:80:0D	Vosswinkel F.U.
00:80:0E	Atlantix
00:80:0F	Standard Microsystems
00:80:10	Commodore International
00:80:11	Digital Systems Int'l.
00:80:12	Integrated Measurement Systems
00:80:13	Thomas-conrad
00:80:14	Esprit Systems
00:80:15	Seiko Systems
00:80:16	Wandel AND Goltermann
00:80:17	PFU Limited
00:80:18	Kobe Steel
00:80:19	Dayna Communications
00:80:1A	Bell Atlantic
00:80:1B	Kodiak Technology
00:80:1C	Newport Systems Solutions
00:80:1D	Integrated Inference Machines
00:80:1E	Xinetron
00:80:1F	Krupp Atlas Electronik Gmbh
00:80:20	Network Products
00:80:21	Alcatel Canada
00:80:22	Scan-optics
00:80:23	Integrated Business Networks
00:80:24	Kalpana
00:80:25	Stollmann Gmbh
00:80:26	Network Products
00:80:27	Adaptive Systems
00:80:28	Tradpost (hk)
00:80:29	Eagle Technology
00:80:2A	Test Systems & Simulations
00:80:2B	Integrated Marketing CO
00:80:2C	THE Sage Group PLC
00:80:2D	Xylogics
00:80:2E	Castle Rock Computing
00:80:2F	National Instruments
00:80:30	Nexus Electronics
00:80:31	Basys
00:80:32	Access CO.
00:80:33	Formation
00:80:34	SMT Goupil
00:80:35	Technology Works
00:80:36	Reflex Manufacturing Systems
00:80:37	Ericsson Group
00:80:38	Data Research & Applications
00:80:39	Alcatel STC Australia
00:80:3A	Varityper
00:80:3B	APT Communications
00:80:3C	TVS Electronics
00:80:3D	Surigiken CO.
00:80:3E	Synernetics
00:80:3F	Tatung Company
00:80:40	John Fluke Manufacturing CO.
00:80:41	VEB Kombinat Robotron
00:80:42	Force Computers
00:80:43	Networld
00:80:44	Systech Computer
00:80:45	Matsushita Electric IND. CO
00:80:46	University OF Toronto
00:80:47	In-net
00:80:48	Compex Incorporated
00:80:49	Nissin Electric CO.
00:80:4A	Pro-log
00:80:4B	Eagle Technologiesltd.
00:80:4C	Contec CO.
00:80:4D	Cyclone Microsystems
00:80:4E	Apex Computer Company
00:80:4F	Daikin Industries
00:80:50	Ziatech
00:80:51	Fibermux
00:80:52	Technically Elite Concepts
00:80:53	Intellicom
00:80:54	Frontier Technologies
00:80:55	Fermilab
00:80:56	Sphinx Elektronik Gmbh
00:80:57	Adsoft
00:80:58	Printer Systems
00:80:59	Stanley Electric CO.
00:80:5A	Tulip Computers Internat'l B.V
00:80:5B	Condor Systems
00:80:5C	Agilis
00:80:5D	Canstar
00:80:5E	LSI Logic
00:80:5F	Compaq Computer
00:80:60	Network Interface
00:80:61	Litton Systems
00:80:62	Interface  CO.
00:80:63	Richard Hirschmann Gmbh & CO.
00:80:64	Wyse Technology
00:80:65	Cybergraphic Systems
00:80:66	Arcom Control Systems
00:80:67	Square D Company
00:80:68	Yamatech Scientific
00:80:69	Computone Systems
00:80:6A	ERI (empac Research)
00:80:6B	Schmid Telecommunication
00:80:6C	Cegelec Projects
00:80:6D	Century Systems
00:80:6E	Nippon Steel
00:80:6F	Onelan
00:80:70	Computadoras Micron
00:80:71	SAI Technology
00:80:72	Microplex Systems
00:80:73	DWB Associates
00:80:74	Fisher Controls
00:80:75	Parsytec Gmbh
00:80:76	Mcnc
00:80:77	Brother Industries
00:80:78	Practical Peripherals
00:80:79	Microbus Designs
00:80:7A	Aitech Systems
00:80:7B	Artel Communications
00:80:7C	Fibercom
00:80:7D	Equinox Systems
00:80:7E	Southern Pacific
00:80:7F	Dy-4 Incorporated
00:80:80	Datamedia
00:80:81	Kendall Square Research
00:80:82	PEP Modular Computers Gmbh
00:80:83	Amdahl
00:80:84	THE Cloud
00:80:85	H-three Systems
00:80:86	Computer Generation
00:80:87	OKI Electric Industry CO.
00:80:88	Victor Company OF Japan
00:80:89	Tecnetics (pty)
00:80:8A	Summit Microsystems
00:80:8B	Dacoll Limited
00:80:8C	NetScout Systems
00:80:8D	Westcoast Technology B.V.
00:80:8E	Radstone Technology
00:80:8F	C. Itoh Electronics
00:80:90	Microtek International
00:80:91	Tokyo Electric Co.
00:80:92	Japan Computer Industry
00:80:93	Xyron
00:80:94	Alfa Laval Automation AB
00:80:95	Basic Merton Handelsges.m.b.h.
00:80:96	Human Designed Systems
00:80:97	Centralp Automatismes
00:80:98	TDK
00:80:99	Klockner Moeller IPC
00:80:9A	Novus Networks
00:80:9B	Justsystem
00:80:9C	Luxcom
00:80:9D	Commscraft
00:80:9E	Datus Gmbh
00:80:9F	Alcatel Business Systems
00:80:A0	Edisa Hewlett Packard S/A
00:80:A1	Microtest
00:80:A2	Creative Electronic Systems
00:80:A3	Lantronix
00:80:A4	Liberty Electronics
00:80:A5	Speed International
00:80:A6	Republic Technology
00:80:A7	Measurex
00:80:A8	Vitacom
00:80:A9	Clearpoint Research
00:80:AA	Maxpeed
00:80:AB	Dukane Network Integration
00:80:AC	Imlogix, Division OF Genesys
00:80:AD	Cnet Technology
00:80:AE	Hughes Network Systems
00:80:AF	Allumer CO.
00:80:B0	Advanced Information
00:80:B1	Softcom A/S
00:80:B2	Network Equipment Technologies
00:80:B3	Aval Data
00:80:B4	Sophia Systems
00:80:B5	United Networks
00:80:B6	Themis Computer
00:80:B7	Stellar Computer
00:80:B8	BUG, Incorporated
00:80:B9	Arche Technoligies
00:80:BA	Specialix (asia) PTE
00:80:BB	Hughes LAN Systems
00:80:BC	Hitachi Engineering CO.
00:80:BD	THE Furukawa Electric CO.
00:80:BE	Aries Research
00:80:BF	Takaoka Electric MFG. CO.
00:80:C0	Penril Datacomm
00:80:C1	Lanex
00:80:C2	Ieee 802.1 Committee
00:80:C3	Bicc Information Systems & SVC
00:80:C4	Document Technologies
00:80:C5	Novellco DE Mexico
00:80:C6	National Datacomm
00:80:C7	Xircom
00:80:C8	D-link Systems
00:80:C9	Alberta Microelectronic Centre
00:80:CA	Netcom Research Incorporated
00:80:CB	Falco Data Products
00:80:CC	Microwave Bypass Systems
00:80:CD	Micronics Computer
00:80:CE	Broadcast Television Systems
00:80:CF	Embedded Performance
00:80:D0	Computer Peripherals
00:80:D1	Kimtron
00:80:D2	Shinnihondenko CO.
00:80:D3	Shiva
00:80:D4	Chase Research
00:80:D5	Cadre Technologies
00:80:D6	Nuvotech
00:80:D7	Fantum Engineering
